보관소명,소재지,위도,경도,LCD,QR,설치대수
망원역 1번출구 앞,마포구,37.5556488,126.9106293,,15,15
망원역 2번출구 앞,마포구,37.55495071,126.9108353,,14,14
합정역 1번출구 앞,마포구,37.55062866,126.9149857,,13,13
합정역 5번출구 앞,마포구,37.55000687,126.9148254,,5,5
합정역 7번출구 앞,마포구,37.54864502,126.9128265,,12,12
신한은행 서교동지점,마포구,37.55751038,126.9185028,,5,5
서교동 사거리,마포구,37.55274582,126.9186173,,10,10
제일빌딩 앞,마포구,37.54769135,126.9199829,,10,10
상수역 2번출구 앞,마포구,37.54787064,126.9235306,10,10,20
극동방송국 앞,마포구,37.54920197,126.9232025,10,10,20
홍대입구역 2번출구 앞,마포구,37.5574379,126.9238205,,25,25
홍대입구역 8번출구 앞,마포구,37.55706024,126.9244232,,15,15
마스타 빌딩 앞,서대문구,37.55893326,126.9271164,,15,15
일진아이윌아파트 옆,서대문구,37.56454086,126.9270706,5,5,10
홍은사거리,서대문구,37.59115982,126.94133,23,23,46
광흥창역 2번출구 앞,마포구,37.54773331,126.9317627,,10,10
서강나루 공원,마포구,37.54528427,126.9310532,,10,10
신수동 사거리,마포구,37.54524231,126.9341126,5,,5
마포소방서 앞,마포구,37.54976654,126.9331741,,15,15
신성기사식당 앞,마포구,37.54745865,126.9383774,,10,10
문화촌 공원,서대문구,37.59432983,126.9473877,,20,20
서강대 정문 건너편,마포구,37.55113983,126.9369888,,20,20
서강대 남문 옆,마포구,37.54948425,126.9389496,,15,15
서강대 후문 옆,마포구,37.55041122,126.9438477,,20,20
현대벤처빌 앞,마포구,37.5535202,126.9369507,,15,15
신촌역(2호선) 1번출구 옆,서대문구,37.55549622,126.9363403,,18,18
신촌역(2호선) 6번출구 옆,마포구,37.55505371,126.9375687,,10,10
신촌역(2호선) 7번출구 앞,마포구,37.55485916,126.9361572,10,,10
증산2교,서대문구,37.5841713,126.9111023,,20,20
해담는다리,서대문구,37.58203125,126.9089966,,14,14
연세로 명물길,서대문구,37.55789185,126.9380798,,8,8
명물길 원형무대 앞,서대문구,37.5591011,126.9391785,10,,10
신촌기차역입구 교차로,서대문구,37.55681229,126.9431839,,10,10
신촌동 제1공영주차장 앞,서대문구,37.5591774,126.9345245,10,,10
연세대 정문 건너편,서대문구,37.55986404,126.9344177,10,10,20
이화여대 후문,서대문구,37.560009,126.9407349,,22,22
연대 대운동장 옆,서대문구,37.56238174,126.9326477,,10,10
아현역 4번출구 앞,마포구,37.55720139,126.9556656,11,,11
공덕역 2번출구,마포구,37.54457855,126.9502182,9,,9
공덕역 8번출구,마포구,37.5435791,126.9513245,10,,10
공덕역 5번출구,마포구,37.54425049,126.9516373,9,,9
마포역 2번출구 뒤,마포구,37.53993607,126.9458237,12,,12
마포역 4번출구 뒤,마포구,37.53927231,126.9459152,7,,7
용강동 주민센터 앞,마포구,37.54234695,126.9430237,11,,11
서강대역 2번출구 앞,마포구,37.55295563,126.9343414,15,,15
성산2교 사거리,마포구,37.56469727,126.9126129,10,,10
마포구청역,마포구,37.56090927,126.9054947,13,,13
가좌역1 번출구 뒤,마포구,37.56829453,126.9150467,,15,15
서울서부지방법원 앞,마포구,37.54933167,126.9549179,10,,10
애오개역 4번출구 앞,마포구,37.5530014,126.9566879,12,,12
이대역 4번 출구,서대문구,37.55695343,126.9463425,,5,5
북아현동 가구거리,서대문구,37.55754852,126.9593811,13,,13
무악재역1번 출구,서대문구,37.58224487,126.9506455,8,,8
봉원고가차도 밑,서대문구,37.56526947,126.9462433,15,,15
명지전문대학교 정문 앞,서대문구,37.58369827,126.9249649,,7,7
북가좌1동 주민센터,서대문구,37.57447815,126.9100494,10,,10
중앙근린공원,서대문구,37.57513809,126.9139404,20,,20
가재울 초등학교,서대문구,37.57381821,126.9192352,20,,20
연가초등학교 옆,서대문구,37.57946014,126.9171295,15,,15
북가좌 삼거리,서대문구,37.57300186,126.9077988,10,,10
DMC파크뷰자이아파트 302동 앞,서대문구,37.57311249,126.9224472,10,,10
임광빌딩 앞,서대문구,37.56472397,126.9672775,10,,10
서대문역 8번출구 앞,서대문구,37.56477737,126.9661484,8,,8
홍연2교옆,서대문구,37.57806778,126.9308853,20,,20
명지대학교 도서관,서대문구,37.58109665,126.9240265,10,,10
북가좌 초등학교,서대문구,37.57767487,126.9098053,8,,8
증산3교 앞,서대문구,37.57987595,126.9063492,10,,10
가좌역 4번출구 앞,서대문구,37.56912231,126.9147949,14,,14
충정로역 7번출구 아래,서대문구,37.55996704,126.9624634,10,,10
망원초록길 입구,마포구,37.55134201,126.9026718,15,,15
망원2빗물펌프장 앞,마포구,37.5513649,126.9030609,,9,9
하늘채코오롱아파트 건너편,마포구,37.56516647,126.9193955,15,,15
7번가피자 서교망원점,마포구,37.55894852,126.907753,9,,9
마포 신수공원 앞,마포구,37.54254532,126.9342957,15,,15
월드컵공원,마포구,37.56396484,126.8982086,,40,40
홍은동 정원여중 입구,서대문구,37.58638763,126.9351273,,9,9
서우빌딩,서대문구,37.57889175,126.9107361,10,,10
연서어린이공원,서대문구,37.57222748,126.9230652,10,,10
증산교 앞,서대문구,37.57731628,126.9029694,10,,10
모래내고가차도,서대문구,37.56765747,126.9178085,10,,10
연희교차로 인근,서대문구,37.56612015,126.9258957,10,,10
충정2교,서대문구,37.5621376,126.9637756,,15,15
서울 월드컵 경기장,마포구,37.56684494,126.8964462,30,,30
국회의원회관,영등포구,37.52841568,126.9139175,,18,18
진미파라곤 앞,영등포구,37.53123856,126.9213333,,15,15
국민일보 앞,영등포구,37.52881622,126.92453,,30,30
국회의사당역 3번출구 옆,영등포구,37.5280571,126.9187012,,15,15
국회의사당역 5번출구 옆,영등포구,37.52816391,126.9170227,,13,13
산업은행 앞,영등포구,37.52626419,126.9205093,,20,20
KBS 앞,영등포구,37.52466583,126.9180222,,35,35
여의나루역 1번출구 앞,영등포구,37.52715683,126.9319,46,,46
유진투자증권빌딩 앞,영등포구,37.52461243,126.9278336,,12,12
여의도역 4번출구 옆,영등포구,37.52222824,126.9246368,13,,13
여의도역 1번출구 옆,영등포구,37.5213623,126.9234619,35,,35
KT앞,영등포구,37.52190781,126.9189529,,19,19
금융감독원 앞,영등포구,37.5230217,126.9208374,,21,21
여의도고교 앞,영등포구,37.52483749,126.934906,,10,10
NH농협은행 앞,영등포구,37.52207947,126.9303665,,9,9
롯데캐슬엠파이어 옆,영등포구,37.52069473,126.9258347,,12,12
미성아파트 A동 앞,영등포구,37.5193634,126.9260483,,30,30
여의도초교 앞,영등포구,37.52267456,126.9377899,,10,10
시범아파트버스정류장 옆,영등포구,37.51943588,126.9375992,,12,12
진주아파트상가 앞,영등포구,37.51931381,126.9331665,,20,20
롯데캐슬 앞,영등포구,37.5200882,126.9323654,,20,20
